15323: {0, 1, 3, 4, 5, 9, 12, 16}
15370: {0, 4, 5, 6, 7, 8, 14, 18}
15374: {0, 1, 3, 4, 5, 6, 9, 17}
15376: {0, 3, 4, 8, 9, 11, 17, 22}
15380: {2, 4, 6, 7, 10, 15, 20, 23}
15389: {0, 1, 3, 4, 6, 10, 17, 18}
15401: {0, 1, 3, 6, 10, 17, 18, 19}
15411: {0, 1, 3, 4, 5, 6, 17, 18}
15412: {1, 2, 3, 4, 5, 6, 13, 17}
15601: {0, 1, 3, 4, 5, 6, 7, 18}
15607: {0, 1, 2, 3, 5, 6, 17, 21}
15624: {2, 3, 4, 5, 8, 11, 12, 13}
15841: {0, 1, 2, 4, 5, 11, 12, 14}
15897: {0, 1, 3, 4, 5, 7, 11, 18}
15919: {2, 3, 4, 5, 6, 7, 8, 13}
15991: {0, 1, 3, 4, 5, 6, 17, 18}
16218: {0, 1, 2, 3, 4, 5, 11, 12}
